,price,bhk,area
110,₹1.50 Cr ,"1 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area500 sqft
111,₹3.87 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area950 sqft
112,₹82 Lac ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area700 sqft
113,₹2.10 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area650 sqft
114,₹85 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area376 sqft
115,₹2.75 Cr ,"2 BHK Flat for Sale in Sewri, Mumbai",Carpet Area700 sqft
116,₹2.11 Cr ,"3 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area1200 sqft
117,₹3 Cr ,"1 BHK Flat for Sale in Pali Naka, Mumbai",Carpet Area542 sqft
118,₹56 Lac ,"1 BHK Flat for Sale in Jankalyan Nagar, Mumbai",Carpet Area306 sqft
119,₹4.45 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Carpet Area1200 sqft
120,₹1.70 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area718 sqft
121,₹1.48 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area680 sqft
122,₹2.75 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Super Area1250 sqft
123,₹1.85 Cr ,"4 BHK Flat for Sale in Dombivli East, Mumbai",Carpet Area1500 sqft
124,₹1.55 Cr ,"2 BHK Flat for Sale in Tambe Nagar, Mumbai",Carpet Area568 sqft
125,₹2.75 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area900 sqft
126,₹1.25 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Super Area1000 sqft
127,₹1.20 Cr ,"1 BHK Flat for Sale in Goregaon East, Mumbai",Super Area850 sqft
128,₹70 Lac ,"1 BHK Flat for Sale in Mahavir Nagar Kandivali West, Mumbai",Super Area350 sqft
129,₹3 Cr ,"2 BHK Flat for Sale in Grant Road East, Mumbai",Super Area860 sqft
130,₹5.25 Cr ,"3 BHK Flat for Sale in Dadar East, Mumbai",Carpet Area1080 sqft
131,₹2.95 Cr ,"2 BHK Flat for Sale in Marine Lines, Mumbai",Carpet Area796 sqft
132,₹9 Cr ,"4 BHK Flat for Sale in Dadar TT, Mumbai",Carpet Area1903 sqft
133,₹2.50 Cr ,"2 BHK Flat for Sale in Vile Parle East, Mumbai",Carpet Area760 sqft
134,₹2.70 Cr ,"3 BHK Flat for Sale in Chembur East, Mumbai",Carpet Area900 sqft
135,₹10.50 Cr ,3 BHK Flat for Sale in Mumbai,Carpet Area2100 sqft
136,₹46 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Carpet Area500 sqft
137,₹1.16 Cr ,"2 BHK Flat for Sale in Pandurang Wadi Mira Road East, Mumbai",Carpet Area999 sqft
138,₹1.80 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area494 sqft
139,₹5.75 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area1380 sqft
140,₹2.75 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area643 sqft
141,₹84 Lac ,"2 BHK Flat for Sale in Bhandup East, Mumbai",Carpet Area418 sqft
142,₹1.85 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area629 sqft
143,₹2.20 Cr ,"1 BHK Flat for Sale in Dadar East, Mumbai",Carpet Area500 sqft
144,₹95 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area483 sqft
145,₹2.30 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area750 sqft
146,₹1.80 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area490 sqft
147,₹2.35 Cr ,"3 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area950 sqft
148,₹3.99 Cr ,"4 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area1625 sqft
149,₹35 Lac ,"1 BHK Flat for Sale in Virar East, Mumbai",Carpet Area510 sqft
150,₹95 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area430 sqft
151,₹1.60 Cr ,"2 BHK Flat for Sale in Shimpoli Road, Mumbai",Carpet Area489 sqft
152,₹1.50 Cr ,2 BHK Flat for Sale in Mumbai,Carpet Area750 sqft
153,₹30 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area470 sqft
154,₹65 Lac ,2 BHK Flat for Sale in Mumbai,Super Area504 sqft
155,₹65 Lac ,"1 BHK Flat for Sale in Kandivali East, Mumbai",Super Area330 sqft
156,₹52 Lac ,"2 BHK Flat for Sale in Naigaon East, Mumbai",Super Area570 sqft
157,₹95 Lac ,"1 BHK Flat for Sale in Kannamwar Nagar 2, Mumbai",Carpet Area434 sqft
158,₹5.75 Cr ,"3 BHK Flat for Sale in Khar West, Mumbai",Carpet Area1100 sqft
159,₹1.20 Cr ,"1 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area420 sqft
160,₹1.40 Cr ,"1 BHK Flat for Sale in Film City Road, Mumbai",Carpet Area460 sqft
161,₹68.5 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Super Area760 sqft
162,₹2.25 Cr ,"2 BHK Flat for Sale in Ghatkopar, Mumbai",Carpet Area700 sqft
163,₹62 Lac ,"1 BHK Flat for Sale in Dahisar East, Mumbai",Super Area575 sqft
164,₹2.10 Cr ,"3 BHK Flat for Sale in Rajawadi Colony, Mumbai",Super Area720 sqft
165,₹2.30 Cr ,"1 BHK Flat for Sale in Bandra West, Mumbai",Carpet Area480 sqft
166,₹34 Lac ,"1 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area475 sqft
167,₹2.50 Cr ,"3 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area972 sqft
168,₹1.50 Cr ,"1 BHK Flat for Sale in Vile Parle East, Mumbai",Carpet Area410 sqft
169,₹84 Lac ,"1 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area421 sqft
170,₹24 Lac ,"1 BHK Flat for Sale in Nalasopara East, Mumbai",Carpet Area383 sqft
171,₹10.50 Cr ,"3 BHK Flat for Sale in Pedder Road, Mumbai",Carpet Area1575 sqft
172,₹1 Cr ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area650 sqft
173,₹4 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",Super Area1072 sqft
174,₹37.5 Lac ,"1 BHK Flat for Sale in Vasai, Mumbai",Carpet Area386 sqft
175,₹2.40 Cr ,"2 BHK Flat for Sale in Koldongri Vile Parle East, Mumbai",Carpet Area650 sqft
176,₹5.30 Cr ,"2 BHK Flat for Sale in Kemps Corner Malabar Hill, Mumbai",Carpet Area823 sqft
177,₹1.50 Cr ,"1 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area420 sqft
178,₹3.25 Cr ,"3 BHK Flat for Sale in Kurla West, Mumbai",Carpet Area1175 sqft
179,₹70 Lac ,"1 BHK Flat for Sale in Vaishali Nagar Dahisar, Mumbai",Carpet Area425 sqft
180,₹1.65 Cr ,"1 BHK Flat for Sale in Powai, Mumbai",Super Area850 sqft
181,₹5.55 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area1084 sqft
182,₹64 Lac ,"1 BHK Flat for Sale in Sajjan Wadi, Mumbai",Carpet Area279 sqft
183,₹2.05 Cr ,"1 BHK Flat for Sale in Lower Parel, Mumbai",Carpet Area440 sqft
184,₹4.50 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1290 sqft
185,₹1.95 Cr ,"1 BHK Flat for Sale in Chakala, Mumbai",Carpet Area529 sqft
186,₹2.28 Cr ,"2 BHK Flat for Sale in Prabhadevi, Mumbai",Carpet Area481 sqft
187,₹4.69 Cr ,"3 BHK Flat for Sale in Parel, Mumbai",Carpet Area1187 sqft
188,₹3.70 Cr ,"2 BHK Flat for Sale in Jogeshwari West, Mumbai",Carpet Area821 sqft
189,₹32 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",Super Area620 sqft
190,₹1.98 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Super Area970 sqft
191,₹50 Lac ,"2 BHK Flat for Sale in Ulhasnagar, Mumbai",Super Area678 sqft
192,₹1.10 Cr ,"2 BHK Flat for Sale in Bhayandar East, Mumbai",Super Area865 sqft
193,₹12 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",Carpet Area200 sqft
194,₹2.99 Cr ,"2 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area756 sqft
195,₹1.55 Cr ,"1 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area550 sqft
196,₹98 Lac ,"1 BHK Flat for Sale in Nahur East, Mumbai",Carpet Area470 sqft
197,₹14 Cr ,"6 BHK Flat for Sale in Juhu, Mumbai",Carpet Area1810 sqft
198,₹7 Cr ,"3 BHK Flat for Sale in Hiranandani Gardens, Mumbai",Carpet Area1380 sqft
199,₹1.70 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area491 sqft
200,₹90 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area450 sqft
201,₹1.47 Cr ,"2 BHK Flat for Sale in Mhada HIG Colony, Mumbai",Carpet Area570 sqft
202,₹5.30 Cr ,"4 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area1490 sqft
203,₹2.60 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area975 sqft
204,₹3.70 Cr ,"3 BHK Flat for Sale in Wadala East, Mumbai",Carpet Area972 sqft
205,₹1.95 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Super Area708 sqft
206,₹3.75 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area1200 sqft
207,₹5.50 Cr ,"3 BHK Flat for Sale in Sewri, Mumbai",Carpet Area1000 sqft
208,₹1.39 Cr ,"1 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area410 sqft
209,₹2.30 Cr ,"2 BHK Flat for Sale in Shivaji Park, Mumbai",Carpet Area500 sqft
210,₹93 Lac ,"1 BHK Flat for Sale in Daulat Nagar Borivali East, Mumbai",Carpet Area439 sqft
211,₹1.85 Cr ,"2 BHK Flat for Sale in Thakur Village, Kandivali East, Mumbai",Carpet Area700 sqft
212,₹1.30 Cr ,"1 BHK Flat for Sale in Kandivali East, Mumbai",Super Area430 sqft
213,₹1.14 Cr ,"2 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area820 sqft
214,₹5.10 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1415 sqft
215,₹1.15 Cr ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area497 sqft
216,₹2.20 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area950 sqft
217,₹15 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",Carpet Area550 sqft
218,₹75 Lac ,"1 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area300 sqft
219,₹70 Lac ,"2 BHK Flat for Sale in Bhayandar West, Mumbai",Carpet Area705 sqft
220,₹2 Cr ,"2 BHK Flat for Sale in Jawahar Nagar Goregaon West, Mumbai",Carpet Area750 sqft
221,₹1.05 Cr ,"1 BHK Flat for Sale in Central Area, Mumbai",Carpet Area440 sqft
222,₹3.20 Cr ,"2 BHK Flat for Sale in Wadala East, Mumbai",Carpet Area850 sqft
223,₹2.65 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area810 sqft
224,₹1.60 Cr ,"1 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area500 sqft
225,₹4.70 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area1100 sqft
226,₹1.90 Cr ,"3 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area900 sqft
227,₹3.25 Cr ,"3 BHK Flat for Sale in Goregaon East, Mumbai",Carpet Area1074 sqft
228,₹85 Lac ,"1 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area450 sqft
229,₹5.70 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Super Area1386 sqft
230,₹1.40 Cr ,"1 BHK Flat for Sale in Tardeo, Mumbai",Carpet Area329 sqft
231,₹2.62 Cr ,"2 BHK Flat for Sale in Orlem, Mumbai",Carpet Area865 sqft
232,₹56 Lac ,"1 BHK Flat for Sale in Jogeshwari West, Mumbai",Carpet Area300 sqft
233,₹2.35 Cr ,"2 BHK Flat for Sale in Kalina, Mumbai",Carpet Area750 sqft
234,₹42 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Carpet Area572 sqft
235,₹5 Cr ,"2 BHK Flat for Sale in Lower Parel West, Mumbai",Carpet Area862 sqft
236,₹29 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area650 sqft
237,₹1.82 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Super Area1100 sqft
238,₹2.40 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Carpet Area1337 sqft
239,₹4.50 Cr ,"4 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1650 sqft
240,₹2.19 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area715 sqft
241,₹1.10 Cr ,"2 BHK Flat for Sale in Tilak Nagar Chembur, Mumbai",Carpet Area470 sqft
242,₹1.25 Cr ,"1 BHK Flat for Sale in Juhu Versova Link Road, Mumbai",Carpet Area282 sqft
243,₹1.35 Cr ,"2 BHK Flat for Sale in Swastik Park, Mumbai",Carpet Area650 sqft
244,₹1.66 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area600 sqft
245,₹1.95 Cr ,"2 BHK Flat for Sale in Kanjurmarg East, Mumbai",Carpet Area677 sqft
246,₹1.12 Cr ,"1 BHK Flat for Sale in Powai, Mumbai",Super Area766 sqft
247,₹1.75 Cr ,"2 BHK Flat for Sale in Vile Parle East, Mumbai",Carpet Area500 sqft
248,₹1.50 Cr ,"3 BHK Flat for Sale in Royal Palms Estate, Mumbai",Carpet Area1330 sqft
249,₹29.5 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",Carpet Area290 sqft
250,₹2.75 Cr ,"3 BHK Flat for Sale in Jay Prakash Nagar Goregaon East, Mumbai",Carpet Area749 sqft
251,₹90 Lac ,"1 BHK Flat for Sale in Mulund West, Mumbai",Super Area616 sqft
252,₹6.50 Cr ,"2 BHK Flat for Sale in Breach Candy, Mumbai",Carpet Area1120 sqft
253,₹3.80 Cr ,"2 BHK Flat for Sale in Parel, Mumbai",Carpet Area899 sqft
254,₹45.4 Lac ,"1 BHK Flat for Sale in Vasai East, Mumbai",Carpet Area450 sqft
255,₹2.30 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Super Area1200 sqft
256,₹1.30 Cr ,"1 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area460 sqft
257,₹50 Lac ,"1 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area250 sqft
258,₹1.50 Cr ,"2 BHK Flat for Sale in Pant Nagar, Mumbai",Carpet Area625 sqft
