,price,bhk,area
547,₹2.20 Cr ,"2 BHK Flat for Sale in Shastri Nagar Santacruz West, Mumbai",Carpet Area650 sqft
548,₹1.15 Cr ,"1 BHK Flat for Sale in Siddharth Nagar Goregaon West, Mumbai",Carpet Area450 sqft
549,₹1.10 Cr ,"2 BHK Flat for Sale in Malad, Mumbai",Carpet Area756 sqft
550,₹1.35 Cr ,"2 BHK Flat for Sale in Kurla West, Mumbai",Carpet Area601 sqft
551,₹20 Lac ,"1 BHK Flat for Sale in Kurla East, Mumbai",Super Area345 sqft
552,₹2.90 Cr ,"3 BHK Flat for Sale in Malad West, Mumbai",Carpet Area942 sqft
553,₹1.20 Cr ,"2 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area620 sqft
554,₹1.25 Cr ,1 BHK Flat for Sale in Mumbai,Super Area350 sqft
555,₹2.09 Cr ,"2 BHK Flat for Sale in Kandivali, Mumbai",Carpet Area850 sqft
556,₹5.70 Cr ,"4 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area1650 sqft
557,₹1.75 Cr ,"1 BHK Flat for Sale in Marine Lines, Mumbai",Carpet Area367 sqft
558,₹2.50 Cr ,"2 BHK Flat for Sale in Goregaon Mulund Link Road, Mumbai",Carpet Area763 sqft
559,₹5.50 Cr ,"2 BHK Flat for Sale in Napean Sea Road, Mumbai",Carpet Area900 sqft
560,₹82 Lac ,"1 BHK Flat for Sale in Sion East, Mumbai",Carpet Area320 sqft
561,₹1.10 Cr ,"1 BHK Flat for Sale in Amboli, Mumbai",Carpet Area369 sqft
562,₹2.65 Cr ,"2 BHK Flat for Sale in Versova Andheri West, Mumbai",Carpet Area760 sqft
563,₹5.05 Cr ,"3 BHK Flat for Sale in Powai, Mumbai",Carpet Area1350 sqft
564,₹5.50 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Super Area1800 sqft
565,₹1.90 Cr ,"1 BHK Flat for Sale in Worli Shivaji Nagar, Mumbai",Carpet Area240 sqft
566,₹23 Cr ,"4 BHK Flat for Sale in Cuffe Parade, Mumbai",Super Area2000 sqft
567,₹2.25 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area850 sqft
568,₹2.80 Cr ,"3 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area866 sqft
569,₹20 Lac ,"1 BHK Flat for Sale in Bhayandar West, Mumbai",Super Area250 sqft
570,₹50 Lac ," Studio Apartment for Sale in Malad East, Mumbai",Carpet Area225 sqft
571,₹1.65 Cr ,"1 BHK Flat for Sale in Goregaon East, Mumbai",Carpet Area426 sqft
572,₹4.10 Cr ,"4 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area1200 sqft
573,₹2.25 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Super Area580 sqft
574,₹96 Lac ,"1 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area470 sqft
575,₹2.10 Cr ,"2 BHK Flat for Sale in Kalina, Mumbai",Carpet Area539 sqft
576,₹3.42 Cr ,"3 BHK Flat for Sale in Babrekar Nagar Kandivali West, Mumbai",Super Area1049 sqft
577,₹2.11 Cr ,"3 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area1020 sqft
578,₹36 Lac ,"1 BHK Flat for Sale in Naigaon East, Mumbai",Carpet Area387 sqft
579,₹2 Cr ,"2 BHK Flat for Sale in Kalina, Mumbai",Carpet Area781 sqft
580,₹3.30 Cr ,"3 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area1007 sqft
581,₹88 Lac ,"1 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area416 sqft
582,₹1.20 Cr ,"1 BHK Flat for Sale in Prabhadevi, Mumbai",Super Area300 sqft
583,₹1.80 Cr ,"2 BHK Flat for Sale in Pimpripada, Mumbai",Carpet Area689 sqft
584,₹2.35 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area675 sqft
585,₹21 Lac ,1 BHK Flat for Sale in Mumbai,Super Area640 sqft
586,₹68 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area425 sqft
587,₹35 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",Super Area370 sqft
588,₹2.20 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area805 sqft
589,₹1.75 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area609 sqft
590,₹1.20 Cr ,"1 BHK Flat for Sale in Kurla East, Mumbai",Carpet Area478 sqft
591,₹2.39 Cr ,"2 BHK Flat for Sale in Kanjurmarg East, Mumbai",Carpet Area775 sqft
592,₹31 Lac ,2 BHK Flat for Sale in Mumbai,Super Area829 sqft
593,₹2 Cr ,"2 BHK Flat for Sale in Sariput Nagar, Mumbai",Carpet Area760 sqft
594,₹87 Lac ,"1 BHK Flat for Sale in Vinay Nagar, Mumbai",Carpet Area460 sqft
595,₹1.79 Cr ,"2 BHK Flat for Sale in Kalina, Mumbai",Carpet Area547 sqft
596,₹90 Lac ,"1 BHK Flat for Sale in Malad West, Mumbai",Carpet Area431 sqft
597,₹1.25 Cr ,"2 BHK Flat for Sale in Sector 1 Charkop, Mumbai",Carpet Area580 sqft
598,₹40 Lac ,"1 BHK Flat for Sale in Vasai East, Mumbai",Super Area450 sqft
599,₹30 Lac ,"1 BHK Flat for Sale in Nalasopara West, Mumbai",Carpet Area350 sqft
600,₹81 Lac ,"1 BHK Flat for Sale in Hanuman Pada, Mumbai",Super Area400 sqft
601,₹3.15 Cr ,"1 BHK Flat for Sale in Peddar Road, Mumbai",Super Area550 sqft
602,₹4.99 Cr ,"3 BHK Flat for Sale in Wadala, Mumbai",Carpet Area1117 sqft
603,₹31.5 Lac ,"1 BHK Flat for Sale in Naigaon Palghar, Mumbai",Super Area560 sqft
604,₹2.50 Cr ,"3 BHK Flat for Sale in Kurla West, Mumbai",Carpet Area875 sqft
605,₹2.60 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area905 sqft
606,₹2.30 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",Carpet Area731 sqft
607,₹1.15 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area535 sqft
608,₹4.20 Cr ,"3 BHK Flat for Sale in Goregaon West, Mumbai",Super Area1250 sqft
609,₹1.55 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area479 sqft
610,₹1.70 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area670 sqft
611,₹72 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area400 sqft
612,₹2.25 Cr ,"1 BHK Flat for Sale in Reclamation, Mumbai",Super Area610 sqft
613,₹1.75 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area730 sqft
614,₹2.75 Cr ,"3 BHK Flat for Sale in Nagpada, Mumbai",Carpet Area780 sqft
615,₹88 Lac ,"1 BHK Flat for Sale in Lokhandwala Township Kandivali East, Mumbai",Super Area525 sqft
616,₹2.50 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area950 sqft
617,₹1.75 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",Carpet Area500 sqft
618,₹1.50 Cr ,"2 BHK Flat for Sale in Moti Nagar, Mumbai",Carpet Area718 sqft
619,₹97.6 Lac ,"1 BHK Flat for Sale in Parel, Mumbai",Super Area269 sqft
620,₹6.70 Cr ,"4 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area2000 sqft
621,₹1.35 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area511 sqft
622,₹1.40 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",Carpet Area720 sqft
623,₹90 Lac ,"1 BHK Flat for Sale in Gavanpada Mulund East, Mumbai",Carpet Area480 sqft
624,₹93 Lac ,"1 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area385 sqft
625,₹6 Cr ,"4 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1926 sqft
626,₹1.73 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area679 sqft
627,₹1.85 Cr ,"3 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area1000 sqft
628,₹3.90 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area1300 sqft
629,₹50 Lac ,"1 BHK Flat for Sale in MHB Colony Borivali West, Mumbai",Carpet Area279 sqft
630,₹2.50 Cr ,"3 BHK Flat for Sale in Jogeshwari West, Mumbai",Carpet Area120 sqft
631,₹1.15 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area405 sqft
632,₹1.87 Cr ,"2 BHK Flat for Sale in Ghatla, Mumbai",Carpet Area580 sqft
633,₹1.50 Cr ,"1 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area400 sqft
634,₹1 Cr ," Studio Apartment for Sale in Andheri East, Mumbai",Carpet Area340 sqft
635,₹2.50 Cr ,"1 BHK Flat for Sale in Mahim, Mumbai",Carpet Area500 sqft
636,₹99 Lac ,"1 BHK Flat for Sale in Majas Wadi, Mumbai",Carpet Area396 sqft
637,₹1.80 Cr ,"2 BHK Flat for Sale in Saki Naka, Mumbai",Carpet Area950 sqft
638,₹60 Lac ," Studio Apartment for Sale in Mulund West, Mumbai",Super Area407 sqft
639,₹3.10 Cr ," Apartment for Sale in Versova Andheri West, Mumbai",Carpet Area850 sqft
640,₹1.50 Cr ,"1 BHK Flat for Sale in Sindhi Society Chembur, Mumbai",Carpet Area540 sqft
641,₹12 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",Super Area325 sqft
642,₹58 Lac ,1 BHK Flat for Sale in Mumbai,Super Area700 sqft
643,₹3.30 Cr ,"3 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area1007 sqft
644,₹1.45 Cr ,"2 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area575 sqft
645,₹5.58 Cr ,"3 BHK Flat for Sale in Powai, Mumbai",Carpet Area1413 sqft
646,₹1.35 Cr ,"1 BHK Flat for Sale in Parel, Mumbai",Carpet Area375 sqft
647,₹5.35 Cr ,"4 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1518 sqft
648,₹2 Cr ,"2 BHK Flat for Sale in Chembur, Mumbai",Carpet Area728 sqft
649,₹2.20 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area848 sqft
650,₹42 Lac ,"1 BHK Flat for Sale in Virar, Mumbai",Carpet Area460 sqft
651,₹46.5 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Carpet Area425 sqft
652,₹46 Lac ,1 BHK Flat for Sale in Mumbai,Super Area550 sqft
653,₹13 Lac ,"1 BHK Flat for Sale in Ambivali, Mumbai",Carpet Area233 sqft
654,₹42 Lac ,"1 BHK Flat for Sale in Powai, Mumbai",Carpet Area180 sqft
655,₹1.43 Cr ,"1 BHK Flat for Sale in Byculla, Mumbai",Carpet Area459 sqft
656,₹1 Cr ,"1 BHK Flat for Sale in Kurla West, Mumbai",Super Area521 sqft
657,₹1.40 Cr ,"2 BHK Flat for Sale in Mira Road East, Mumbai",Carpet Area850 sqft
658,₹1.19 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Carpet Area400 sqft
659,₹96 Lac ,"1 BHK Flat for Sale in Jogeshwari East, Mumbai",Carpet Area410 sqft
660,₹1.75 Cr ,"2 BHK Flat for Sale in Kandivali West, Mumbai",Super Area618 sqft
661,₹2.20 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area740 sqft
662,₹1 Cr ,"1 BHK Flat for Sale in Bhandup East, Mumbai",Carpet Area480 sqft
663,₹1.21 Cr ,"3 BHK Flat for Sale in Aarey Colony, Mumbai",Super Area1660 sqft
664,₹1.25 Cr ,"2 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area450 sqft
665,₹5.90 Cr ,"4 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area2000 sqft
666,₹2.80 Cr ,"3 BHK Flat for Sale in Thakur Village, Kandivali East, Mumbai",Carpet Area740 sqft
667,₹2.75 Cr ,"2 BHK Flat for Sale in Juhu, Mumbai",Carpet Area1218 sqft
668,₹2.15 Cr ,"2 BHK Flat for Sale in Tilak Nagar Goregaon West, Mumbai",Carpet Area935 sqft
669,₹1.40 Cr ,"1 BHK Flat for Sale in Sunder Nagar Malad West, Mumbai",Carpet Area435 sqft
670,₹1.38 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area614 sqft
671,₹1.70 Cr ,"2 BHK Flat for Sale in Vishwakarma Nagar, Mumbai",Carpet Area800 sqft
672,₹2.95 Cr ,"2 BHK Flat for Sale in Fort, Mumbai",Carpet Area763 sqft
673,₹1.60 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area720 sqft
674,₹1.55 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Super Area900 sqft
675,₹1.20 Cr ,"1 BHK Flat for Sale in Antop Hill, Mumbai",Super Area464 sqft
676,₹1.25 Cr ,"1 BHK Flat for Sale in New Link Road, Mumbai",Super Area500 sqft
677,₹3.60 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area680 sqft
678,₹2.15 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",Super Area950 sqft
679,₹1.50 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area572 sqft
680,₹10.11 Cr ,"6 BHK Flat for Sale in Mulund West, Mumbai",Super Area2400 sqft
681,₹2.90 Cr ,"2 BHK Flat for Sale in Sewri, Mumbai",Carpet Area800 sqft
682,₹3.40 Cr ,"3 BHK Flat for Sale in Malad West, Mumbai",Carpet Area1200 sqft
683,₹2.10 Cr ,"2 BHK Flat for Sale in Powai, Mumbai",Super Area788 sqft
684,₹2.45 Cr ,"3 BHK Flat for Sale in Kanjurmarg East, Mumbai",Carpet Area850 sqft
685,₹40 Lac ,"2 BHK Flat for Sale in Virar, Mumbai",Super Area1000 sqft
686,₹2.80 Cr ,"3 BHK Flat for Sale in Shell Colony, Mumbai",Carpet Area1200 sqft
687,₹35 Lac ,"1 BHK Flat for Sale in Panvel, Mumbai",Carpet Area416 sqft
688,₹1.75 Cr ,"2 BHK Flat for Sale in Borivali West, Mumbai",Carpet Area560 sqft
689,₹99 Lac ,"1 BHK Flat for Sale in Vakola, Mumbai",Super Area480 sqft
690,₹14 Cr ,3 BHK Flat for Sale in Mumbai,Carpet Area2134 sqft
691,₹1 Cr ,"1 BHK Flat for Sale in Malad East, Mumbai",Carpet Area375 sqft
692,₹2.75 Cr ,"2 BHK Flat for Sale in Santacruz East, Mumbai",Super Area850 sqft
693,₹1.75 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area600 sqft
694,₹95 Lac ,"1 BHK Flat for Sale in Dadar East, Mumbai",Carpet Area300 sqft
695,₹2.50 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area630 sqft
696,₹1.45 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",Carpet Area569 sqft
697,₹1.25 Cr ,"2 BHK Flat for Sale in Balaji Nagar Dahisar East, Mumbai",Super Area1050 sqft
698,₹1.30 Cr ,"1 BHK Flat for Sale in Powai, Mumbai",Carpet Area477 sqft
699,₹6 Cr ,"3 BHK Flat for Sale in Bandra West, Mumbai",Carpet Area1100 sqft
700,₹2.75 Cr ,"2 BHK Flat for Sale in Juhu Tara Road, Mumbai",Carpet Area725 sqft
701,₹3.25 Cr ,"3 BHK Flat for Sale in Vaishali Nagar Mulund West, Mumbai",Super Area1342 sqft
702,₹1.14 Cr ,"1 BHK Flat for Sale in Malad West, Mumbai",Carpet Area410 sqft
703,₹1.80 Cr ,"2 BHK Flat for Sale in Jogeshwari West, Mumbai",Carpet Area540 sqft
704,₹1.20 Cr ,2 BHK Flat for Sale in Mumbai,Super Area1240 sqft
705,₹1.10 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Super Area450 sqft
706,₹3.10 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area1000 sqft
707,₹3.25 Cr ,"3 BHK Flat for Sale in Santacruz West, Mumbai",Carpet Area815 sqft
708,₹59 Lac ,"1 BHK Flat for Sale in Malad West, Mumbai",Super Area625 sqft
709,₹57 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area436 sqft
710,₹85 Lac ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area475 sqft
711,₹32 Lac ,"1 BHK Flat for Sale in Nale Road, Mumbai",Carpet Area550 sqft
712,₹1.10 Cr ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",Carpet Area500 sqft
713,₹85 Lac ,"1 BHK Flat for Sale in Goregaon East, Mumbai",Carpet Area330 sqft
714,₹65 Lac ,"1 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area300 sqft
715,₹3.80 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area963 sqft
716,₹1.80 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area700 sqft
717,₹45 Lac ,"1 BHK Flat for Sale in Nala Sopara, Mumbai",Super Area465 sqft
718,₹1.25 Cr ,"1 BHK Flat for Sale in Siddharth Nagar Goregaon West, Mumbai",Carpet Area457 sqft
719,₹45 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Carpet Area650 sqft
720,₹2.35 Cr ,"2 BHK Flat for Sale in Juhu, Mumbai",Carpet Area650 sqft
721,₹45 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Super Area875 sqft
722,₹1.90 Cr ,"2 BHK Flat for Sale in Goregaon West, Mumbai",Carpet Area690 sqft
723,₹2.60 Cr ,"1 BHK Flat for Sale in Jacob Circle, Mumbai",Carpet Area510 sqft
724,₹1.92 Cr ,"2 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area585 sqft
725,₹1.30 Cr ,"2 BHK Flat for Sale in Babrekar Nagar Kandivali West, Mumbai",Carpet Area557 sqft
726,₹14 Cr ,"4 BHK Flat for Sale in Prabhadevi, Mumbai",Super Area2650 sqft
727,₹1.60 Cr ,"2 BHK Flat for Sale in Bhandup West, Mumbai",Carpet Area750 sqft
728,₹3.25 Cr ,"3 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area1027 sqft
729,₹45 Lac ,"2 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area480 sqft
730,₹1.88 Cr ,"2 BHK Flat for Sale in Borivali East, Mumbai",Carpet Area636 sqft
731,₹1.70 Cr ,"2 BHK Flat for Sale in Swastik Park, Mumbai",Carpet Area700 sqft
732,₹66 Lac ,"3 BHK Flat for Sale in Vasai, Mumbai",Carpet Area780 sqft
733,₹95 Lac ,"1 BHK Flat for Sale in Navghar Mulund East, Mumbai",Carpet Area330 sqft
734,₹46 Lac ,"1 BHK Flat for Sale in Mira Road Area, Mumbai",Super Area540 sqft
735,₹92 Lac ,"1 BHK Flat for Sale in Kurla West, Mumbai",Carpet Area480 sqft
736,₹5.30 Cr ,"2 BHK Flat for Sale in Santacruz West, Mumbai",Carpet Area697 sqft
737,₹1.20 Cr ,"2 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area690 sqft
738,₹2.70 Cr ,"3 BHK Flat for Sale in Marol, Mumbai",Carpet Area1365 sqft
739,₹55 Lac ,"2 BHK Flat for Sale in Nalasopara West, Mumbai",Carpet Area960 sqft
740,₹99 Lac ,"2 BHK Flat for Sale in Mira Bhayandar, Mumbai",Carpet Area650 sqft
741,₹50 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area437 sqft
742,₹52 Lac ,"1 BHK Flat for Sale in Bhandup, Mumbai",Super Area325 sqft
743,₹50 Lac , Studio Apartment for Sale in Mumbai,Super Area230 sqft
744,₹55 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area270 sqft
745,₹7 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Carpet Area1465 sqft
746,₹2.55 Cr ,"3 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area888 sqft
747,₹64 Lac ,"1 BHK Flat for Sale in Vinay Nagar, Mumbai",Super Area400 sqft
748,₹2.10 Cr ,"2 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area625 sqft
749,₹64 Lac ,"1 BHK Flat for Sale in Amboli, Mumbai",Carpet Area180 sqft
750,₹4.10 Cr ,"2 BHK Flat for Sale in Dadar West, Mumbai",Carpet Area860 sqft
751,₹1.30 Cr ,"2 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area576 sqft
752,₹3.60 Cr ,"2 BHK Flat for Sale in Mindspace, Mumbai",Carpet Area738 sqft
753,₹12 Cr ,"3 BHK Flat for Sale in Tardeo, Mumbai",Super Area1847 sqft
754,₹36.5 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Carpet Area475 sqft
755,₹1.50 Cr ,"2 BHK Flat for Sale in Mira Road East, Mumbai",Super Area850 sqft
756,₹2.60 Cr ,"2 BHK Flat for Sale in Juhu, Mumbai",Carpet Area766 sqft
757,₹1 Cr ,"1 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area440 sqft
758,₹1.42 Cr ,"2 BHK Flat for Sale in Mulund East, Mumbai",Carpet Area750 sqft
759,₹36 Lac ,"1 BHK Flat for Sale in Vasai East, Mumbai",Super Area575 sqft
760,₹4.10 Cr ,"3 BHK Flat for Sale in Ghatkopar, Mumbai",Super Area1695 sqft
761,₹2.90 Cr ,"3 BHK Flat for Sale in Powai, Mumbai",Carpet Area1085 sqft
762,₹1.70 Cr ,"1 BHK Flat for Sale in Versova Andheri West, Mumbai",Super Area530 sqft
763,₹1.25 Cr ,"1 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area600 sqft
764,₹1.75 Cr ,"2 BHK Flat for Sale in Liberty Garden, Mumbai",Carpet Area700 sqft
765,₹1.55 Cr ,"2 BHK Flat for Sale in Kandivali East, Mumbai",Carpet Area625 sqft
766,₹4.60 Cr ,"2 BHK Flat for Sale in Matunga West, Mumbai",Super Area1200 sqft
767,₹80 Lac ,"1 BHK Flat for Sale in Ghatkopar West, Mumbai",Super Area355 sqft
768,₹1.10 Cr ," Apartment for Sale in Goregaon East, Mumbai",StatusReady to Move
769,₹70 Lac ,"2 BHK Flat for Sale in Virar West, Mumbai",Carpet Area740 sqft
770,₹19 Lac ,"1 BHK Flat for Sale in Virar West, Mumbai",Carpet Area290 sqft
771,₹1.53 Cr ,"1 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area459 sqft
772,₹3.20 Cr ,"2 BHK Flat for Sale in Dadar West, Mumbai",Super Area814 sqft
773,₹6.25 Cr ,"3 BHK Flat for Sale in Mahim West, Mumbai",Carpet Area1600 sqft
774,₹85 Lac ,"1 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area465 sqft
775,₹2.60 Cr ,"2 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area650 sqft
776,₹20 Lac ,"2 BHK Flat for Sale in Sion West, Mumbai",Carpet Area350 sqft
777,₹1.50 Cr ,"2 BHK Flat for Sale in Gorai 1, Mumbai",Carpet Area585 sqft
778,₹45 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area316 sqft
779,₹2.20 Cr ,"1 BHK Flat for Sale in Vikhroli, Mumbai",Carpet Area528 sqft
780,₹1.65 Cr ,"2 BHK Flat for Sale in Sion, Mumbai",Carpet Area560 sqft
781,₹6 Cr ,"5 BHK Flat for Sale in Mulund West, Mumbai",Super Area3000 sqft
782,₹1.15 Cr ,"1 BHK Flat for Sale in Mulund East, Mumbai",Super Area546 sqft
783,₹1.45 Cr ,"1 BHK Flat for Sale in Borivali West, Mumbai",Super Area435 sqft
784,₹1.05 Cr ,"1 BHK Flat for Sale in Kaju Pada Ghatkopar West, Mumbai",Carpet Area600 sqft
785,₹4 Cr ,"2 BHK Flat for Sale in Parel, Mumbai",Carpet Area732 sqft
786,₹2.40 Cr ,"3 BHK Flat for Sale in Malad West, Mumbai",Carpet Area960 sqft
787,₹68 Lac , Studio Apartment for Sale in Mumbai,Carpet Area250 sqft
788,₹1.20 Cr ,"2 BHK Flat for Sale in Gadhav Naka, Mumbai",Carpet Area565 sqft
789,₹2 Cr ,"2 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area825 sqft
790,₹3.60 Cr ,"3 BHK Flat for Sale in Mulund West, Mumbai",Carpet Area1365 sqft
791,₹1.05 Cr ,"1 BHK Flat for Sale in Bandra West, Mumbai",Super Area490 sqft
792,₹3.50 Cr ,"3 BHK Flat for Sale in Dindoshi, Mumbai",Carpet Area1550 sqft
793,₹4.50 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Carpet Area742 sqft
794,₹55 Lac ,"1 BHK Flat for Sale in Vakola, Mumbai",Carpet Area225 sqft
795,₹1.85 Cr ,"2 BHK Flat for Sale in Ghatkopar East, Mumbai",Super Area623 sqft
796,₹66 Lac ,"1 BHK Flat for Sale in Bandra East, Mumbai",Carpet Area300 sqft
797,₹32 Lac ,"1 BHK Flat for Sale in Bhayandar East, Mumbai",Carpet Area250 sqft
798,₹3 Cr ,"2 BHK Flat for Sale in Versova Andheri West, Mumbai",Carpet Area950 sqft
799,₹6.80 Cr ,"3 BHK Flat for Sale in Hiranandani Gardens, Mumbai",Carpet Area1370 sqft
800,₹11 Cr ,"2 BHK Flat for Sale in Colaba, Mumbai",Carpet Area2300 sqft
801,₹45 Lac ,1 BHK Flat for Sale in Mumbai,Carpet Area316 sqft
802,₹1.25 Cr ,"1 BHK Flat for Sale in DN Nagar, Mumbai",Carpet Area305 sqft
803,₹1.90 Cr ,"2 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area521 sqft
804,₹2.15 Cr ,"2 BHK Flat for Sale in Malad East, Mumbai",Carpet Area760 sqm
805,₹3.25 Cr ,"3 BHK Flat for Sale in Sewri, Mumbai",Super Area1100 sqft
806,₹1.60 Cr ,"1 BHK Flat for Sale in Grant Road West, Mumbai",Carpet Area375 sqft
807,₹3.65 Cr ,"3 BHK Flat for Sale in Old Nagardas Road, Mumbai",Super Area1370 sqft
808,₹1.30 Cr ,"2 BHK Flat for Sale in Vinay Nagar, Mumbai",Carpet Area600 sqft
809,₹3.60 Cr ,"3 BHK Flat for Sale in Ghatkopar East, Mumbai",Carpet Area1150 sqft
810,₹2.25 Cr ,"3 BHK Flat for Sale in Andheri East, Mumbai",Carpet Area900 sqft
811,₹3 Cr ,"3 BHK Flat for Sale in Andheri West, Mumbai",Carpet Area885 sqft
812,₹1.70 Cr ,"3 BHK Flat for Sale in Powai, Mumbai",Carpet Area1000 sqft
813,₹2.70 Cr ,"3 BHK Flat for Sale in Upper Govind Nagar, Mumbai",Carpet Area1011 sqft
814,₹2.75 Cr ,"2 BHK Flat for Sale in Malad West, Mumbai",Carpet Area900 sqft
815,₹6.50 Cr ,"3 BHK Flat for Sale in Versova Andheri West, Mumbai",Super Area1800 sqft
816,₹1.65 Cr ,"2 BHK Flat for Sale in Dahisar East, Mumbai",Carpet Area480 sqft
817,₹4.50 Cr ,"3 BHK Flat for Sale in Chembur, Mumbai",Carpet Area1050 sqft
818,₹75 Lac ,"1 BHK Flat for Sale in Mira Road East, Mumbai",Carpet Area510 sqft
819,₹1.26 Cr ,"1 BHK Flat for Sale in Kandivali West, Mumbai",Super Area420 sqft
820,₹6.50 Cr ,"3 BHK Flat for Sale in Girgaon, Mumbai",Carpet Area1339 sqft
821,₹40 Lac ,2 BHK Flat for Sale in Mumbai,Super Area535 sqft
822,₹3 Cr ,"3 BHK Flat for Sale in Santacruz East, Mumbai",Carpet Area860 sqft
